"Group A Arrests"
"Current date: 1/10/2017 9:32:55 PM (Eastern Standard Time)"
"Multiple Arrest Indicator: All Countable Arrests"
"Arrest Date: 2015"
"Offense Type","Arrestee Race","Arrestee Ethnicity","Arrestee Gender","Number of Arrestees",
"Total","White","Hispanic or Latino","Female","1,736"
"Total","White","Hispanic or Latino","Male","6,699"
"Total","White","Hispanic or Latino","Missing",""
"Total","White","Not Hispanic or Latino","Female","10,713"
"Total","White","Not Hispanic or Latino","Male","23,401"
"Total","White","Not Hispanic or Latino","Missing",""
"Total","White","Unknown","Female","957"
"Total","White","Unknown","Male","2,288"
"Total","White","Unknown","Missing",""
"Total","White","Missing","Female","194"
"Total","White","Missing","Male","434"
"Total","White","Missing","Missing",""
"Total","Black or African American","Hispanic or Latino","Female","164"
"Total","Black or African American","Hispanic or Latino","Male","663"
"Total","Black or African American","Hispanic or Latino","Missing",""
"Total","Black or African American","Not Hispanic or Latino","Female","1,881"
"Total","Black or African American","Not Hispanic or Latino","Male","5,903"
"Total","Black or African American","Not Hispanic or Latino","Missing",""
"Total","Black or African American","Unknown","Female","275"
"Total","Black or African American","Unknown","Male","830"
"Total","Black or African American","Unknown","Missing",""
"Total","Black or African American","Missing","Female","44"
"Total","Black or African American","Missing","Male","121"
"Total","Black or African American","Missing","Missing",""
"Total","American Indian or Alaska Native","Hispanic or Latino","Female","2"
"Total","American Indian or Alaska Native","Hispanic or Latino","Male","7"
"Total","American Indian or Alaska Native","Hispanic or Latino","Missing",""
"Total","American Indian or Alaska Native","Not Hispanic or Latino","Female","15"
"Total","American Indian or Alaska Native","Not Hispanic or Latino","Male","24"
"Total","American Indian or Alaska Native","Not Hispanic or Latino","Missing",""
"Total","American Indian or Alaska Native","Unknown","Female","2"
"Total","American Indian or Alaska Native","Unknown","Male","4"
"Total","American Indian or Alaska Native","Unknown","Missing",""
"Total","American Indian or Alaska Native","Missing","Female",""
"Total","American Indian or Alaska Native","Missing","Male","1"
"Total","American Indian or Alaska Native","Missing","Missing",""
"Total","Asian","Hispanic or Latino","Female","1"
"Total","Asian","Hispanic or Latino","Male","18"
"Total","Asian","Hispanic or Latino","Missing",""
"Total","Asian","Not Hispanic or Latino","Female","158"
"Total","Asian","Not Hispanic or Latino","Male","357"
"Total","Asian","Not Hispanic or Latino","Missing",""
"Total","Asian","Unknown","Female","39"
"Total","Asian","Unknown","Male","109"
"Total","Asian","Unknown","Missing",""
"Total","Asian","Missing","Female","10"
"Total","Asian","Missing","Male","37"
"Total","Asian","Missing","Missing",""
"Total","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Female",""
"Total","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Male",""
"Total","Native Hawaiian or Other Pacific Islander","Hispanic or Latino","Missing",""
"Total","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Female",""
"Total","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Male",""
"Total","Native Hawaiian or Other Pacific Islander","Not Hispanic or Latino","Missing",""
"Total","Native Hawaiian or Other Pacific Islander","Unknown","Female",""
"Total","Native Hawaiian or Other Pacific Islander","Unknown","Male",""
"Total","Native Hawaiian or Other Pacific Islander","Unknown","Missing",""
"Total","Native Hawaiian or Other Pacific Islander","Missing","Female",""
"Total","Native Hawaiian or Other Pacific Islander","Missing","Male",""
"Total","Native Hawaiian or Other Pacific Islander","Missing","Missing",""
"Total","Unknown","Hispanic or Latino","Female","86"
"Total","Unknown","Hispanic or Latino","Male","304"
"Total","Unknown","Hispanic or Latino","Missing",""
"Total","Unknown","Not Hispanic or Latino","Female","71"
"Total","Unknown","Not Hispanic or Latino","Male","197"
"Total","Unknown","Not Hispanic or Latino","Missing",""
"Total","Unknown","Unknown","Female","262"
"Total","Unknown","Unknown","Male","621"
"Total","Unknown","Unknown","Missing",""
"Total","Unknown","Missing","Female","11"
"Total","Unknown","Missing","Male","33"
"Total","Unknown","Missing","Missing",""
"Total","Missing","Hispanic or Latino","Female",""
"Total","Missing","Hispanic or Latino","Male",""
"Total","Missing","Hispanic or Latino","Missing",""
"Total","Missing","Not Hispanic or Latino","Female",""
"Total","Missing","Not Hispanic or Latino","Male",""
"Total","Missing","Not Hispanic or Latino","Missing",""
"Total","Missing","Unknown","Female",""
"Total","Missing","Unknown","Male",""
"Total","Missing","Unknown","Missing",""
"Total","Missing","Missing","Female",""
"Total","Missing","Missing","Male",""
"Total","Missing","Missing","Missing",""
"Murder and Nonnegligent Manslaughter","White","Hispanic or Latino","Female",""
"Murder and Nonnegligent Manslaughter","White","Hispanic or Latino","Male","8"
"Murder and Nonnegligent Manslaughter","White","Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","White","Not Hispanic or Latino","Female","2"
"Murder and Nonnegligent Manslaughter","White","Not Hispanic or Latino","Male","4"
"Murder and Nonnegligent Manslaughter","White","Not Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","White","Unknown","Female",""
"Murder and Nonnegligent Manslaughter","White","Unknown","Male","1"
"Murder and Nonnegligent Manslaughter","White","Unknown","Missing",""
"Murder and Nonnegligent Manslaughter","White","Missing","Female",""
"Murder and Nonnegligent Manslaughter","White","Missing","Male",""
"Murder and Nonnegligent Manslaughter","White","Missing","Missing",""
"Murder and Nonnegligent Manslaughter","Black or African American","Hispanic or Latino","Female",""
"Murder and Nonnegligent Manslaughter","Black or African American","Hispanic or Latino","Male",""
"Murder and Nonnegligent Manslaughter","Black or African American","Hispanic or Latino","Missing",""
"Murder and Nonnegligent Manslaughter","Black or African American","Not Hispanic or Latino","Female",""
